show,year_first_released,year_last_released,imdb_rating,imdb_normalized,social_score,social_score_normalized,blended_score,ranking,show_id,round1_match,round2_match,round3_match,last_chance_match,finals_match,status,eliminated_by,last_round,votes_in_round1,votes_in_round2,votes_in_round3,votes_in_last_chance,votes_in_finals,votes_total,category,eliminated_in_tied_match,in_last_chance
Severance,2022,2025,8.7,0.92,18.77,1,1.92,1,s1,Lost Girl,N/A,N/A,TBD,TBD,Eliminated,Lost Girl,1,13,N/A,N/A,TBD,TBD,13,Sci-Fi,No,TBD
Peaky Blinders,2012,2022,8.7,0.92,4.5,0.22276688453159,1.14276688453159,2,s2,Alias,N/A,N/A,TBD,TBD,Eliminated,Alias,1,12,N/A,N/A,TBD,TBD,12,Drama,No,TBD
Twin Peaks,1990,2017,8.7,0.92,4.08,0.199891067538126,1.11989106753813,3,s3,Orphan Black,N/A,N/A,TBD,TBD,Eliminated,Orphan Black,1,21,N/A,N/A,TBD,TBD,21,Sci-Fi,No,TBD
The West Wing,1999,2006,8.9,1,1.68,0.0691721132897604,1.06917211328976,4,s4,Star Trek: Deep Space Nine,Suites,TBD,TBD,TBD,Current,N/A,N/A,28,TBD,TBD,TBD,TBD,28,Drama,N/A,N/A
X-Files,1993,2018,8.6,0.88,2.64,0.121459694989107,1.00145969498911,5,s5,Lost,Lost Girl,TBD,TBD,TBD,Current,N/A,N/A,24,TBD,TBD,TBD,TBD,24,Sci-Fi,N/A,N/A
Freaks and Geeks,1999,2000,8.8,0.96,0.89,0.0261437908496732,0.986143790849673,6,s6,The O.C.,Gilmore Girls,TBD,TBD,TBD,Current,N/A,N/A,22,TBD,TBD,TBD,TBD,22,Coming of Age,N/A,N/A
Battlestar Galactica,2004,2009,8.7,0.92,1.08,0.0364923747276689,0.956492374727669,7,s7,Chuck,Alias,TBD,TBD,TBD,Current,N/A,N/A,24,TBD,TBD,TBD,TBD,24,Drama,N/A,N/A
Friday Night Lights,2006,2011,8.7,0.92,0.9,0.0266884531590414,0.946688453159041,8,s8,Gossip Girl,Dead Like Me,TBD,TBD,TBD,Current,N/A,N/A,26,TBD,TBD,TBD,TBD,26,Coming of Age,N/A,N/A
The Newsroom,2012,2014,8.6,0.88,1.4,0.053921568627451,0.933921568627451,9,s9,Suits,N/A,N/A,TBD,TBD,Eliminated,Suits,1,19,N/A,N/A,TBD,TBD,19,Drama,No,TBD
Buffy the Vampire Slayer,1997,2003,8.3,0.76,3.53,0.169934640522876,0.929934640522876,10,s10,The 100,Tru Blood,TBD,TBD,TBD,Current,N/A,N/A,36,TBD,TBD,TBD,TBD,36,Fantasy,N/A,N/A
